course_anonid,lecturer_anonid,lecture_id,discipline,year,month,day,slot,coder,time,code,duration,lecture_date,session_number,lecturer_and_session,title,simple_title,code_grp,duration_int
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2967,LR,21,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2988,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2989,LR,6,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,2995,LQ,5,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3000,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3001,LR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3002,LQ,10,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3012,LT,12,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3024,LQ,2,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3026,LT,10,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),NON,0
C4,L3,C4_2018_09_26_2,VET,2018,09,26,2,SS,3036,SR,1,2018-09-26,3,L3 S3,C4 2018-09-26 (SS),SS 26/09 (2),VIC,0
